,timestamp_start,timestamp_end,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.pitch,stabilizer.roll,stabilizer.yaw
0,33780,33762,0.0221535545,-0.0886582881,1.0732554197,-1.1619558334,4.5955295563,1.4912265539,0.5404545665,0.4786637425,0.1655077487,0.2467102557,-0.4380848706,2.5740432739
1,33790,33772,0.0046457518,-0.0187386107,1.1137530804,3.5750217438,3.0066628456,1.3734141588,0.5408815742,0.477997452,0.167561844,0.1725755781,-0.9895982146,2.6036038399
2,33800,33782,0.0071318988,-0.1131963804,1.1458384991,5.8646087646,0.4566108882,1.5042876005,0.5411613584,0.4782100916,0.1694039553,0.125348404,0.2756681144,2.6009669304
3,33810,33792,-0.001019243,-0.0285133943,1.017229557,4.4501986504,-1.76848948,1.3044213057,0.5411729217,0.4821301699,0.1713166833,-0.2804727256,-0.7487159371,2.6200590134
4,33820,33802,0.0011334902,0.0292773657,1.0962848663,2.3823165894,-5.5953388214,1.6864329576,0.5414662361,0.4739266932,0.1789717078,-0.4956917763,-2.466520071,2.5940845013
5,33830,33812,0.013488668,-0.0206495989,1.0514657497,6.4263653755,-8.5975599289,1.9631556273,0.5440645814,0.4812059999,0.1822844446,-0.2884396017,-2.0766835213,2.6234016418
6,33840,33822,0.0029338954,-0.0471906811,1.0187389851,20.6023311615,-13.6900062561,1.6132985353,0.5459019542,0.4946506917,0.1792735904,-0.0352198668,-1.6580098867,2.6484050751
7,33850,33832,0.0298200753,-0.1201025769,1.0227248669,37.7281112671,-15.6618518829,1.0161019564,0.545404613,0.4943144023,0.1874172837,0.1217265278,-1.1590833664,2.6789557934
8,33860,33842,0.0110840853,-0.0700718537,1.0954326391,47.5801315308,-12.5984697342,1.6120276451,0.5447897911,0.4941362441,0.1936432421,0.3992112577,-0.3975745142,2.697715044
9,33870,33852,-0.0302354302,0.0765411928,1.0802032948,48.0234413147,-9.4358034134,1.5352646112,0.5451020598,0.4942155182,0.1958221346,0.6163357496,0.4729194343,2.7245950699
10,33880,33862,-0.0204003081,0.1243780404,0.9761556983,41.5851974487,-5.4534349442,1.0723712444,0.5444471836,0.4931461811,0.2001829743,0.3589217067,0.094019033,2.7311098576
11,33890,33872,0.0466297157,-0.0564215593,0.9549335837,24.8747386932,0.5020586252,0.5482631326,0.5439450145,0.4912762642,0.2037776709,0.3311610222,0.6514491439,2.7560067177
12,33900,33882,-0.0259350818,-0.1008898243,1.0324920416,12.3849105835,1.5736130476,0.409956187,0.5464151502,0.4987562597,0.2050629854,0.4497774839,1.0142816305,2.7601611614
13,33910,33892,-0.0193459578,-0.0718494058,0.9948305488,4.9470543861,-1.6981073618,0.6785790324,0.5473238826,0.4986959696,0.2086430192,0.5056909323,1.1860346794,2.7659335136
14,33920,33902,0.0493306071,-0.0931936577,1.0107951164,-1.0740180016,-2.8841052055,0.2720756829,0.5467536449,0.4986855984,0.2120764405,0.6571950316,1.3654395342,2.7750191689
15,33930,33912,0.0355181135,-0.1681545228,1.0307645798,-1.7910370827,-6.2580657005,0.4525765777,0.5466413498,0.4990674853,0.2126914561,0.8364944458,1.5366302729,2.7849030495
16,33940,33922,-0.0090632848,-0.0234062877,0.9716150165,-1.6423879862,-5.7734007835,0.22184816,0.5458577275,0.498734951,0.2155907452,0.9401838183,1.6016862392,2.7900197506
17,33950,33932,-0.0287244134,-0.1112563089,0.986857295,-1.3644001484,-3.8993752003,0.695345819,0.5449380279,0.4979569614,0.21827811,1.0176810026,1.6533144712,2.795371294
18,33960,33942,-0.0252875332,-0.0761933327,0.9384490848,-1.8940933943,-1.2280857563,0.6114519238,0.5445588231,0.4978417456,0.2209714502,1.0590513945,1.6993104219,2.8010275364
19,33970,33952,0.0136207147,-0.0444188304,0.9127131701,-3.1612758636,4.1408848763,0.1683961451,0.5442463756,0.4976508319,0.2218765318,0.895088315,1.717361927,2.7813863754
20,33980,33962,0.0392009728,-0.0814166963,0.9216969013,-4.1026706696,6.4293732643,0.0202827025,0.5440407991,0.4975286722,0.2244328558,0.8239764571,1.7067735195,2.7800223827
21,33990,33972,0.0778810903,-0.060323596,0.9197797775,-5.0372405052,7.4842252731,-0.1109259576,0.5452982187,0.4975413978,0.2271510363,0.5147693753,0.9551455379,2.7589690685
22,34000,33982,0.0074638217,0.0120782992,0.959231019,-3.9113309383,6.4760727882,0.4361964762,0.5455237627,0.4974834621,0.2264110148,0.4486862421,1.0058190823,2.7586491108
23,34010,33992,-0.0050246827,-0.0046669962,0.9168679714,0.7720580697,3.5254848003,0.7295831442,0.5474523306,0.5042548776,0.2294133008,0.4198346436,1.1554253101,2.7614994049
24,34020,34002,0.0113862958,-0.0293516256,0.9058549404,6.2360973358,-4.0600295067,0.6599075794,0.5477193594,0.5043168664,0.2318254709,0.6149293184,1.3003152609,2.7997984886
25,34030,34012,0.1302702725,0.030565206,0.8604092598,9.1526899338,-6.638235569,0.6409373283,0.547899425,0.5034553409,0.2299365848,0.7069132924,1.5695468187,2.8082458973
26,34040,34022,0.0400716178,0.065594539,0.8845008612,8.0215597153,-7.7454767227,0.2508770823,0.5464116335,0.5029818416,0.2319065779,0.9075706005,1.8330572844,2.8303456306
27,34050,34032,-0.0404089577,0.0986683667,0.9766210318,3.3050813675,-5.342130661,-0.1701941788,0.5461274385,0.5016350746,0.2336300462,0.9979838729,2.0201852322,2.8296973705
