,timestamp_start,timestamp_end,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.pitch,stabilizer.roll,stabilizer.yaw
0,36473,36471,-0.0916593596,0.0255429856,1.0364583731,-5.7556791306,-3.7086076736,1.277336359,0.5265687704,0.4675004184,0.1915516704,-0.4585834146,-0.7940641642,2.4499065876
1,36483,36481,0.0071828812,-0.0281452406,0.9767512679,-3.7270338535,-3.2932305336,1.1882038116,0.5269557238,0.4677517116,0.1908692718,-0.367125839,-0.8909966946,2.458439827
2,36493,36491,-0.0352875963,0.0333538018,1.0719177723,0.7415325046,-6.8186130524,0.8247662187,0.5282386541,0.4683866203,0.1922233105,-0.4432305992,-1.0162376165,2.4751224518
3,36503,36501,0.0201510489,-0.0737241581,1.0486584902,6.1825404167,-10.1838712692,0.3159428537,0.5284085274,0.4682454765,0.1941055506,-0.3198489249,-0.9846078753,2.4779860973
4,36513,36511,0.0193229951,-0.0885413662,1.0150442123,11.9067230225,-13.2358894348,0.0495537296,2.0840206146,5.3245277405,0.195759967,-0.2828520536,-1.0103702545,2.4826924801
5,36523,36521,-0.0025221296,0.081641227,0.9956275225,14.2497825623,-14.190413475,0.4191562235,2.2370288372,2.8911967278,0.1977747083,-0.0317714475,-0.802428484,2.4794404507
6,36533,36531,0.0484501347,0.0845038146,0.9252499342,13.2322635651,-15.3996944427,1.1775202751,2.095767498,3.8138127327,0.1996761709,0.1185919642,-0.6184076667,2.4877705574
7,36543,36541,0.0257049743,0.0450466983,1.0093897581,9.5274991989,-15.6652784348,0.9690876007,2.0972037315,3.8141756058,0.2011701614,-0.0914125443,-0.7493831515,2.519204855
8,36553,36551,0.0003573951,0.0009867835,1.0264828205,6.1349506378,-14.3865776062,0.7782546878,2.0783998966,3.9153306484,0.2031352222,0.3218662739,-0.6045544147,2.5172958374
9,36563,36561,-0.0025214846,-0.0468963347,1.0051461458,3.864518404,-12.1542100906,1.0064615011,2.0218384266,3.9009757042,0.2048710436,0.5169460177,-0.5296848416,2.5238676071
10,36573,36571,0.0211908817,-0.0542696416,1.0234274864,3.7204470634,-10.8401708603,0.9231975079,2.0031337738,3.9628226757,0.206577599,0.5341230631,-0.4138738215,2.5389099121
11,36583,36581,0.0136024011,-0.1588903964,1.04200387,5.7328877449,-9.9917602539,0.6003645658,1.957431078,3.9556112289,0.2061473727,0.8239789009,-0.3800693154,2.5403237343
12,36593,36591,0.0019167187,-0.0693718717,1.0378432274,7.5054540634,-8.2306747437,0.5136190653,1.939786911,3.9677996635,0.2079410106,0.7742176652,-0.387506336,2.5560162067
13,36603,36601,-0.0751299262,0.1051803753,1.0787991285,7.2993121147,-4.9314451218,0.696031034,1.9407949448,3.9683742523,0.2095385045,0.7757547498,-0.3673270643,2.5675139427
14,36613,36611,0.02074988,0.1372591704,0.9835880995,8.0055122375,-4.495112896,0.6936872602,1.9024982452,3.9454181194,0.2112051547,0.8259564042,-0.2555005848,2.5714309216
15,36623,36621,0.0558492467,0.0400712974,1.0173718929,9.0814790726,-7.9212398529,0.3534759879,1.8461002111,3.9506709576,0.2129720598,0.9474377632,-0.277035445,2.5840015411
16,36633,36631,0.0245867651,-0.077207014,1.0216240883,10.386095047,-8.9526281357,-0.2328560501,1.8476089239,3.9509561062,0.2146938443,0.8091462255,-0.1247909218,2.5836362839
17,36643,36641,0.0073286453,-0.0325206928,0.9987283349,10.0718202591,-11.1892414093,0.3046348989,1.7963100672,3.9559903145,0.2161726356,1.0907928944,0.0299796704,2.5806250572
18,36653,36651,-0.0032967192,-0.0453454256,0.9824854732,9.2738714218,-9.3053712845,0.3239668906,1.7968536615,3.9561626911,0.2179466635,1.2289733887,0.174951598,2.5785710812
19,36663,36661,0.0201531854,-0.0446449406,1.0045257807,7.4805402756,-11.4278068542,0.4210361242,1.7866829634,3.9451560974,0.2196934074,1.2767180204,0.225871563,2.5857768059
20,36673,36671,-0.0520786531,-0.0459393486,1.0892773867,5.9477930069,-11.0878772736,0.0409538113,1.7872710228,3.9458649158,0.2214490175,1.3905678988,0.2478176057,2.5967981815
21,36683,36681,-0.0662918538,-0.021380147,1.0514870882,2.6420242786,-3.7611207962,0.1796340793,1.7879568338,3.9462387562,0.2231009752,1.4662191868,0.3162357807,2.595271349
22,36693,36691,0.0661827773,-0.0291734152,0.9898303747,1.7808948755,-2.5121045113,0.578140974,1.7877267599,3.9496767521,0.22499156,1.5962920189,0.266711086,2.6156771183
23,36703,36701,0.0484847352,-0.0006068944,0.9942210913,2.0241005421,-1.6653008461,-0.0191261861,1.7729928493,3.9521708488,0.2269364893,1.6916862726,0.3630014658,2.6112732887
24,36713,36711,0.022410199,-0.0688612238,1.0597983599,4.1095848083,-0.4363054633,-0.7460482121,1.7730864286,3.9524700642,0.2270894945,1.7585486174,0.3869163692,2.6139657497
25,36723,36721,0.0433067754,-0.0919103622,0.9824287891,5.220038414,3.1628916264,-1.2693938017,1.7731679678,3.9523351192,0.2289255559,1.7944290638,0.5084563494,2.5940113068
26,36733,36731,0.0220350008,0.0113567393,0.9620130062,5.4666032791,5.1690683365,-0.9690351486,1.7741852999,3.9521803856,0.2308473885,1.6451838017,0.6377189755,2.5565845966
27,36743,36741,0.0542866029,0.0076821097,0.8811925054,4.568924427,6.9588360786,-0.3355418146,1.7904714346,3.9729247093,0.2342116833,1.5512558222,0.2404919118,2.6424171925
28,36753,36751,0.0017342473,0.0524410903,1.0039964914,2.9731836319,2.9501955509,-1.36759305,1.8038375378,3.9666810036,0.235950157,1.4473340511,0.2503797114,2.6414291859
29,36763,36761,0.0164611638,-0.02910777,0.9716996551,3.85353899,2.8253557682,-1.2828457355,1.8041540384,3.9756309986,0.2378244251,1.4515241385,0.3931335211,2.6088402271
30,36773,36771,0.0013187955,-0.0109743942,0.9775088429,5.5817599297,1.1564532518,-0.7360671759,1.8035880327,3.9763278961,0.2396337092,1.4639575481,0.537836194,2.5770998001
31,36783,36781,0.0059463247,-0.0074305576,0.9843571186,6.5268454552,0.2478292435,-0.2138162851,1.8025922775,3.9775516987,0.2393311411,1.5639270544,0.5463359356,2.5922207832
32,36793,36791,-0.0053236922,0.0037612231,0.9686331153,6.3009748459,-0.1403708011,-0.1278870255,1.8026356697,3.9773409367,0.2409480661,1.5774451494,0.7218393683,2.5659899712
33,36803,36801,-0.0099441241,-0.0244210828,1.0138726234,5.3383002281,1.268455863,0.4518914521,1.803833127,3.9878737926,0.2425525934,1.5088852644,0.8023313284,2.5521345139
34,36813,36811,0.0166884642,-0.1478515565,1.0262970924,2.2253592014,5.3471512794,-0.1417461336,1.8088566065,3.9830174446,0.2443854958,1.4151320457,0.8516790867,2.5452709198
35,36823,36821,-0.0252927896,0.0056177564,1.0209569931,-0.0863374174,6.3884868622,-0.4313224852,1.7989777327,3.9855997562,0.2459810078,1.5036987066,0.853325367,2.5686490536
36,36833,36831,0.0219227541,-0.0330667533,0.9418753982,-1.247836113,6.0717015266,-1.1090066433,1.7956734896,3.9843382835,0.2474889308,1.6261677742,0.8196025491,2.6001267433
37,36843,36841,-0.0006900117,0.0008072892,0.9829909801,-0.5266374946,7.4256930351,-1.5498716831,1.7966002226,3.9799647331,0.2490603477,1.4960092306,0.8454501629,2.571823597
38,36853,36851,0.0060175909,-0.0383462757,0.9766317606,0.1303030252,9.4430332184,-0.8144778013,1.7946460247,3.9763576984,0.2506383061,1.3485342264,0.8779637814,2.5394997597
39,36863,36861,0.0022609103,0.0064963563,0.9912078977,0.7254714966,10.001584053,-0.6288687587,1.7950017452,3.9667513371,0.2522003055,1.103345871,0.9917545319,2.4846622944
40,36873,36871,-0.0074959747,0.0022083693,1.020072341,0.9663597941,8.1088705063,-0.5998433232,1.7948992252,3.9667134285,0.2537192106,1.0238102674,1.025049448,2.4776303768
41,36883,36881,-0.0302047115,0.0185727049,1.0004804134,-0.7321394086,5.062625885,-0.9485961795,1.7912561893,3.9705994129,0.2553465962,0.9690697193,0.9714175463,2.4890184402
42,36893,36891,-0.034546271,0.128679648,0.9963482618,-2.7792267799,2.8840038776,-0.7267913818,1.783793211,3.9719302654,0.2568726838,1.1751060486,1.1178076267,2.5008001328
43,36903,36901,0.0387725718,0.1513290554,0.9091959596,-5.011349678,2.156737566,-0.2027873844,1.7827851772,3.9747033119,0.2586054206,1.2354967594,0.6931327581,2.577893734
44,36913,36911,0.0352944136,0.1167713478,0.9329876304,-5.9605975151,3.7625997066,-0.7208232284,1.7853028774,3.9774327278,0.2607757151,0.7711740136,0.3563238978,2.5427899361
45,36923,36921,0.0569887944,-0.0074020149,0.9408296943,-3.5671489239,5.8078050613,-0.4604755044,1.7851663828,3.9772150517,0.2622750401,0.6993610859,0.3380166888,2.5232236385
46,36933,36931,0.0191241354,-0.0223442893,1.0143997669,1.0732522011,6.2524838448,-0.5499790311,1.7849357128,3.9773335457,0.2637839019,0.6688588262,0.3609377444,2.5145509243
47,36943,36941,0.0241389889,-0.0466746539,0.9665908813,6.2795829773,4.6538786888,-0.5731072426,1.7798751593,3.9774677753,0.2662767172,0.7094160914,0.5298306346,2.506727457
48,36953,36951,0.0025731949,-0.0198646802,0.9732769728,9.5347290039,4.3383288383,-0.4779093862,1.7800343037,3.9776415825,0.2677398324,0.6159337163,0.6144533157,2.4922981262
49,36963,36961,0.043309845,0.0196978543,0.9191870093,8.5123720169,5.0228114128,-0.1008311585,1.7799669504,3.9727480412,0.2691701055,0.6116700172,0.8099733591,2.4837999344
50,36973,36971,0.0994675085,0.0097039156,0.8884046674,5.2733244896,4.6144132614,0.1154357642,1.7777564526,3.9714772701,0.2704670429,0.6049739122,0.9679703116,2.4812774658
51,36983,36981,0.093603529,-0.0108873127,0.9155438542,0.1684857756,3.7266726494,0.0968745351,1.7778352499,3.9725313187,0.2718862593,0.5317138433,0.9111193419,2.4845104218
52,36993,36991,0.0503250472,-0.0934292451,0.932790041,-5.2392244339,3.0007376671,-0.6623340845,1.7779864073,3.9714438915,0.2729853392,0.4696953297,1.0682638884,2.4680860043
53,37003,37001,0.0207398236,-0.1064316928,0.931938827,-8.9338951111,3.1203467846,-0.5782479644,1.7774729729,3.9718186855,0.2740321159,0.4870106578,0.9757438898,2.4712226391
54,37013,37011,0.0089824544,-0.0117538478,0.9353707433,-11.6907596588,3.9667150974,-0.8793593645,1.7766860723,3.9724826813,0.2729179561,0.4206522703,0.9006676674,2.459407568
55,37023,37021,-0.0039706123,0.0587252602,0.9218484759,-11.013835907,5.3118638992,-0.7849862576,1.7762855291,3.9718391895,0.2736583352,0.4194435775,0.8644259572,2.454138279
56,37033,37031,0.0221541598,0.0223502479,0.8737152219,-8.099480629,6.8873376846,-0.9818621874,1.775919199,3.9717042446,0.2743187547,0.3953722119,0.767026484,2.4503922462
57,37043,37041,-0.0011883082,0.0516941808,0.9581010342,-5.5681614876,6.3617343903,-0.8503964543,1.7763434649,3.9642629623,0.2752744853,0.3504952192,0.6373591423,2.4451599121
58,37053,37051,0.006379168,-0.0226526894,0.9441408515,-3.0255284309,5.3692464828,-0.8832380176,1.776632309,3.9645490646,0.2758008838,0.2353824973,0.5473018289,2.4287571907
59,37063,37061,-0.054141473,-0.0726870149,1.0208120346,-1.2638188601,3.3986804485,-1.4346015453,1.7755185366,3.9626703262,0.2762861252,0.5031908154,0.6470668316,2.4622039795
60,37073,37071,-0.0918540284,-0.067310594,1.0596982241,-2.4857485294,5.7347693443,-0.9404655695,1.7754619122,3.9626300335,0.2785883844,0.3827594817,0.6069020033,2.4389283657
61,37083,37081,-0.0024286942,-0.0168150235,0.9939599633,-5.0447497368,5.2181129456,-0.7419867516,1.7739268541,3.9599409103,0.2792756855,0.2453186959,0.6168199182,2.4187173843
62,37093,37091,-0.0006930068,-0.0052540232,0.9907207489,-7.6627254486,7.6954007149,-0.9285280108,1.7675591707,3.9533348083,0.2798231244,0.3974320292,0.6463391781,2.4377179146
63,37103,37101,0.0521078296,-0.0675132275,0.9798402786,-8.3875999451,8.1782608032,-1.9332774878,1.7685261965,3.9537751675,0.2807062268,0.136557743,0.487043649,2.4051406384
64,37113,37111,0.019444339,-0.0346561857,1.0253099203,-8.8295669556,7.8913564682,-1.7583643198,1.7677154541,3.9522473812,0.2838389575,0.1019333676,0.5412945151,2.3960273266
65,37123,37121,0.0380983576,-0.0893277749,0.9910090566,-9.2825479507,9.631570816,-2.305113554,1.767595768,3.9521040916,0.2846717238,-0.0217954535,0.4265663028,2.3740894794
66,37133,37131,-0.0033362701,0.0709698647,1.0141006708,-8.3466415405,10.0725774765,-2.2391273975,1.7668185234,3.9519195557,0.2854763567,-0.0786767527,0.3150548041,2.356688261
67,37143,37141,0.0609459504,0.0681247637,0.8879850507,-6.5368313789,6.9050121307,-2.0695085526,1.7659603357,3.9509441853,0.2884570956,-0.1315990835,0.2930860817,2.3425757885
68,37153,37151,0.0174346678,0.0170432031,0.9820361137,-4.6996464729,4.5267534256,-2.135818243,1.7666010857,3.9480092525,0.2893584967,-0.2915909886,0.2228422463,2.3131122589
69,37163,37161,0.0255323313,0.0151198404,0.9848825932,-4.4653429985,2.7987825871,-2.0677976608,1.7670397758,3.9464626312,0.2901852131,-0.416459173,0.1730138958,2.2866024971
70,37173,37171,0.0111662708,-0.0175851099,1.0019267797,-5.7465786934,1.2722048759,-1.7390340567,1.7680610418,3.9438598156,0.2913169563,-0.3445166051,0.267981112,2.2850315571
71,37183,37181,0.0249139536,-0.0521980897,0.9520453215,-6.8789868355,0.0738760829,-1.4488290548,1.767359972,3.9434661865,0.2921389639,-0.3236260414,0.1880189627,2.2674787045
72,37193,37191,0.0474701747,-0.0784794092,0.9382180572,-8.9129667282,-0.5905349255,-1.0644600391,1.7673177719,3.9432253838,0.2929524779,-0.3634606004,0.0837662145,2.2471165657
73,37203,37201,0.0259722043,-0.076382257,0.9838087559,-9.5889806747,-0.2110540122,-1.0003354549,1.7666862011,3.9417409897,0.2936231494,-0.3283436298,0.0967197195,2.2486362457
74,37213,37211,-0.0106192976,-0.1126186699,0.9734040499,-9.6890192032,0.4913333654,-1.3423320055,1.7660006285,3.9422287941,0.2955915034,-0.3079564869,-0.1228674427,2.2262108326
75,37223,37221,-0.0669528246,-0.0925557464,1.0138690472,-9.1248950958,3.9711477757,-1.1045260429,1.7661533356,3.9421195984,0.2963929772,-0.3761462569,-0.2586446702,2.2066116333
76,37233,37231,-0.0360165536,-0.129471764,1.0088524818,-6.8720626831,4.7291035652,-1.0810041428,1.7664868832,3.9405536652,0.2971735895,-0.4731571674,-0.2329897135,2.2081208229
77,37243,37241,-0.0545539819,0.0007815966,1.0100855827,-5.3469119072,3.3789055347,-0.5774249434,1.7618296146,3.9404940605,0.2979198098,-0.4308983088,-0.3991035819,2.1880686283
78,37253,37251,0.0571966395,-0.0108463345,0.9415833354,-4.5619802475,3.6047711372,-0.5599511266,1.7620847225,3.9393804073,0.2987056971,-0.5252522826,-0.3853751123,2.1889243126
79,37263,37261,-0.0026561106,0.0574684702,0.9760978818,-4.1314969063,0.8468634486,-0.7280134559,1.7579139471,3.9415616989,0.2994683683,-0.5994055271,-0.4376244247,2.1817913055
80,37273,37271,-0.0431146771,-0.0045371205,0.9803090096,-3.6029381752,-3.1123921871,-1.0358980894,1.7545380592,3.9358794689,0.3029799461,-0.5501347184,-0.4822855592,2.1719510555
81,37283,37281,-0.0695856288,-0.0779778883,1.0360023975,-2.7171177864,-5.3591098785,-1.4257757664,1.7542991638,3.936019659,0.303904891,-0.5307898521,-0.5920066833,2.1509292126
82,37293,37291,-0.1020469517,-0.0601468273,1.0897279978,-2.9666645527,-5.5351099968,-1.3337541819,1.7540740967,3.9348390102,0.3048395216,-0.4848196208,-0.5409716368,2.1491949558
83,37303,37301,-0.0709534809,-0.0726610646,1.0567649603,-2.6808307171,-4.6071829796,-1.3480255604,1.7537817955,3.9349479675,0.3058571219,-0.4398424029,-0.6390423775,2.1261024475
84,37313,37311,-0.0597184524,-0.0206832699,1.0172147751,-2.9616889954,-1.9737855196,-1.0375660658,1.753634572,3.9338581562,0.3065948188,-0.4126989841,-0.5817428827,2.1260254383
