,timestamp_start,timestamp_end,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.pitch,stabilizer.roll,stabilizer.yaw
0,33129,33127,0.0108944904,0.0193184577,1.0016868114,5.5092601776,10.1306257248,-0.2731691599,1.6859561205,3.8774523735,0.1918526143,6.04083834332414E-05,-1.0614905357,3.0055916309
1,33139,33137,-0.0340809375,-0.04784666,1.03627491,7.3192062378,3.9825742245,-0.2502627671,1.6890176535,3.879240036,0.1931868941,-0.1648674458,-1.033616066,3.0170140266
2,33149,33147,-0.0004971756,-0.0242317319,1.0267679691,8.3392601013,-3.6797170639,-0.2463153899,1.6924278736,3.8815689087,0.1948033273,-0.1968874633,-0.8994179368,3.0124857426
3,33159,33157,-0.0076590888,-0.0287279096,1.0076911449,8.1189279556,-7.9452309608,0.2957098186,1.6899449825,3.8831686974,0.197000131,0.3143258989,-0.9021821618,2.9461069107
4,33169,33167,0.0021173994,-0.1082655713,0.9738076925,6.7582297325,-7.2778558731,1.5192410946,1.6929028034,3.8826472759,0.1993398219,0.0156809483,-0.7533004284,3.0028412342
5,33179,33177,-0.001533114,-0.0400688201,1.0153861046,6.1523861885,-3.5921645164,0.7118097544,1.6874785423,3.881282568,0.2044045627,0.7991400957,-0.423458308,2.9047071934
6,33189,33187,-0.0095819579,-0.0604253188,0.9916958213,3.5023674965,2.4867544174,2.1256566048,1.6873877048,3.8797850609,0.2065185755,0.7199441195,-0.2900283337,2.9253265858
7,33199,33197,0.0248502214,-0.0198485833,1.0007666349,-1.8355544806,14.5823278427,1.338866353,1.6894727945,3.879509449,0.2091256231,0.4618741274,-0.3580724001,2.9714269638
8,33209,33207,-0.0027535595,0.0048468886,1.0226248503,-5.983982563,19.7190170288,1.3443052769,1.6888924837,3.8787238598,0.2118928879,0.198658064,-0.5013364553,2.997781992
9,33219,33217,0.0351035856,-0.0860684291,0.995170176,-8.5270814896,23.4828357697,0.6710823178,1.6946570873,3.88133955,0.2140230983,-0.2114599943,-0.6178342104,3.0252952576
10,33229,33227,0.0584412552,-0.0669538379,0.9571590424,-7.77389431,18.676404953,1.2892364264,1.6940784454,3.8814105988,0.2160055488,-0.4853707254,-0.7583218217,3.0331552029
